β = 10,β = 20,β = 30,β = 40,β = 50,β = 60,β = 70,β = 80,β = 90
7.590514,15.319778,23.274107,31.52938,40.1551,49.20905,58.714969,68.632918,78.844066
7.59129,15.322579,23.280113,31.538529,40.16577,49.218905,58.72249,68.63869,78.850988
7.591812,15.324793,23.28523,31.546745,40.17584,49.228715,58.730389,68.644815,78.857704
7.592119,15.326479,23.289513,31.554055,40.185291,49.238421,58.738598,68.651264,78.864283
7.592257,15.327718,23.293055,31.560538,40.194167,49.248024,58.747091,68.658033,78.8708
7.592274,15.3286,23.295973,31.566315,40.202568,49.257582,58.75589,68.66514,78.877327
7.592217,15.329219,23.298398,31.571534,40.210631,49.267201,58.765061,68.672041,78.883927
7.592129,15.329663,23.300459,31.57635,40.218511,49.277009,58.774695,68.68009,78.890645
7.592048,15.330009,23.302275,31.580907,40.226356,49.287137,58.784892,68.688729,78.897507
7.592002,15.33032,23.303938,31.585321,40.234284,49.297689,58.79573,68.697942,78.904513
7.592008,15.330634,23.305513,31.589666,40.242363,49.308719,58.807249,68.707679,78.911633
7.592076,15.330975,23.307032,31.593973,40.250605,49.320215,58.819429,68.717577,78.918815
7.592206,15.331346,23.308498,31.598223,40.258954,49.332091,58.832177,68.728108,78.925982
