α,β,L1,L2,L3
32.788282,-79.269238,31.333333,-49.153965,17.820631
-34.645016,18.441578,-26,10.113164,15.886836
73.599304,26.440397,36.666667,9.380293,-46.046959
-89.180838,-88.84177,-20.666667,-35.278676,55.945343
58.705767,-66.989275,42,-36.011547,-5.988453
-4.859732,31.875725,-15.333333,22.678214,-7.344881
110.647043,142.342035,47.333333,21.945343,-69.278676
-42.800316,-36.927268,-10,-22.713626,32.713626
82.287327,-76.662152,52.666667,-23.446497,-29.220169
35.06332,55.359143,-4.666667,35.820631,-31.153965
149.605067,-121.115235,58,-69.415704,11.415704
-5.82656,-9.29915,0.666667,-10.148576,9.481909
-91.800195,91.368009,-56.666667,49.118553,7.548114
97.988664,96.208204,6,48.385681,-54.385681
-82.577421,17.442915,-51.333333,3.726713,47.60662
17.370035,2.300415,11.333333,2.993841,-14.327175
-133.088864,101.608855,-46,61.683603,-15.683603
-21.84055,-66.637063,16.666667,-42.975366,26.308699
-59.012576,38.86686,-40.666667,16.291763,24.374904
54.359908,28.851045,22,15.558891,-37.558891
-104.812796,-121.242794,-35.333333,-29.100077,64.43341
24.100125,-47.949337,27.333333,-30.410316,3.076982
-28.823564,45.614395,-29.333333,28.52348,0.809854
95.521908,101.510272,33.333333,27.790608,-61.123941
-61.172365,-34.966285,-24,-16.86836,40.86836
55.263021,-40.328828,38.666667,-17.601232,-21.065435
12.165642,62.967252,-18.666667,41.08853,-22.421863
140.667951,-103.354623,44,-63.570439,19.570439
-22.545563,-4.076109,-13.333333,-4.30331,17.636644
83.712657,-53.62845,49.333333,-5.036182,-44.297152
72.758997,82.465582,-8,54.230947,-46.230947
102.131979,-97.60094,54.666667,-50.428022,-4.238645
0.105277,0.112797,-2.666667,8.26174,-5.595073
115.059124,169.343542,60,7.528868,-67.528868
-42.482322,-58.340435,2.666667,-37.1301,34.463433
-85.868054,81.399616,-54.666667,22.137028,32.529638
38.087978,35.114732,8,21.404157,-29.404157
-122.941386,-156.949292,-49.333333,-23.832179,73.165512
-0.059888,-36.268634,13.333333,-24.56505,11.231717
-59.831045,64.968842,-44,34.702079,9.297921
80.357043,77.593888,18.666667,33.969207,-52.635874
-81.344335,-46.886246,-38.666667,-10.689761,49.356428
28.651566,-18.988248,24,-11.422633,-12.577367
-33.889896,75.371273,-33.333333,47.267129,-13.933795
-11.06295,-84.679579,29.333333,-57.39184,28.058507
-46.774078,6.695189,-28,1.875289,26.124711
60.515312,-2.903662,34.666667,1.142417,-35.809084
125.458508,98.001975,-22.666667,60.409546,-37.742879
57.412101,-75.361524,40,-44.82679,4.82679
-12.993462,18.733315,-16.666667,14.107005,2.559661
100.152532,130.860206,46,13.374134,-59.374134
-61.581591,-58.739184,-11.333333,-31.284834,42.618168
51.333333,-32.017706,-19.315627,51.333333,-32.017706
16.770867,38.237677,-6,26.672055,-20.672055
163.962075,-129.656591,56.666667,-77.986913,21.320246
-17.976928,-24.300406,-0.666667,-18.719784,19.386451
-80.543766,79.727011,-58,40.547344,17.452656
67.588488,72.366744,4.666667,39.814473,-44.481139
-102.715638,-171.05461,-52.666667,-4.844496,57.511162
7.849713,-7.14406,10,-6.154734,-3.845266
-114.122264,100.402283,-47.333333,53.112394,-5.779061
-61.673717,-81.499205,15.333333,-51.546574,36.213241
-68.614963,28.830603,-42,7.720554,34.279446
40.187365,9.090901,20.666667,6.987683,-27.654349
-178.363427,105.246269,-36.666667,65.677444,-29.010778
14.439854,-59.799043,26,-38.981524,12.981524
-37.385856,35.175623,-31.333333,20.285604,11.047729
78.654896,61.49275,31.333333,19.552733,-50.886066
-79.88796,-70.041325,-26,-25.106236,51.106236
46.687417,-48.017572,36.666667,-25.839107,-10.82756
-5.648383,49.272106,-20.666667,32.850654,-12.183988
169.976408,-113.380308,42,-71.808314,29.808314
-37.942632,-18.402473,-15.333333,-12.541186,27.874519
74.84662,-51.946395,47.333333,-13.274057,-34.059276
52.95516,74.132445,-10,45.993072,-35.993072
123.180995,-105.085253,52.666667,-59.243264,6.576597
-0.083407,0.052289,-4.666667,0.023865,4.642802
104.510141,-165.400128,58.666667,-1.04234,-57.624326
-70.300592,-77.622062,1.333333,-45.701309,44.367975
-102.312599,133.883859,-56,13.56582,42.43418
21.157432,15.80236,6.666667,12.255581,-18.922248
-159.417406,117.940639,-50.666667,71.52271,-20.856043
-13.74975,-48.971999,12,-33.136259,21.136259
-64.541464,58.043961,-45.333333,26.13087,19.202463
61.583072,51.184628,17.333333,25.397998,-42.731332
-96.80008,-112.935293,-40,-19.26097,59.26097
